datetime,power,GHI,DHI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,hour_cos,hour_sin,zenith_cos,zenith_sin,azimuth_cos,azimuth_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin
6/2/2020 20:00,0.041867588,-0.064354443,0.413460239,-0.637636135,0.098237757,0.562627898,-0.151625452,0.707358109,-1.224147365,1.115356064,0.761310042,-1.313259416,0.549861863,0.146688877,0.686584751,1.402418368,3.002895411,0.454768217,1.345154531
6/2/2020 21:00,-0.148873523,-0.378348878,-0.237992416,-0.903926943,-0.055937726,0.20616909,-0.151625452,1.000357673,-0.999484003,1.282953702,0.39247474,-1.396272779,0.297190472,0.041867588,0.146688877,0.686584783,1.402419504,-0.980447443,-1.020909486
6/2/2020 22:00,-0.570059392,-0.618391539,-0.449167227,-1.072396639,-0.214151138,-0.023895958,-0.151625452,1.225184145,-0.70669701,0.79846105,-1.048915747,-1.418103561,-0.249289324,-0.148873523,0.041867588,0.146688937,0.686599538,1.221075426,-0.688919266
6/2/2020 23:00,-0.756738465,-0.879861567,-0.725345477,-1.072396639,-0.429996814,-0.555033785,-0.151625452,1.366515975,-0.365739336,-1.567265224,0.090141851,-0.935097468,-1.133572139,-0.570059392,-0.148873523,0.041867654,0.146713964,1.284047138,-0.56240963
6/3/2020 0:00,-0.774597111,-0.914328235,-0.878117198,-1.072396639,-0.682183853,-0.586277186,-0.151625452,1.41472163,0.000153319,1.085762628,-0.747939669,0.469714644,-1.370814247,-0.756738465,-0.570059392,-0.148873447,0.041894675,-0.634459637,-1.263253319
6/3/2020 1:00,-0.774658689,-0.914328235,-0.895227194,-1.072396639,-1.19133003,-1.134456868,-0.151625452,1.366515975,0.366045973,1.201459886,0.607824228,1.350385675,0.112711658,-0.774597111,-0.756738465,-0.570059294,-0.148842797,-1.177569279,-0.787602175
6/3/2020 2:00,-0.774658689,-0.914328235,-0.892863433,-1.072396639,-1.515465629,-1.586066037,-0.151625452,1.225184145,0.707003648,1.307299023,-0.234838379,1.2315463,-0.630132016,-0.774658689,-0.774597111,-0.756738357,-0.57002063,-0.042911172,-1.409666249
6/3/2020 3:00,-0.774658689,-0.914328235,-0.891117886,-1.072396639,-1.750766782,-1.591746655,-0.151625452,1.000357673,0.99979064,-1.197799612,-0.899030295,1.018229403,0.904294467,-0.774658689,-0.774658689,-0.774597002,-0.756696141,-1.116447931,0.88502006
6/3/2020 4:00,-0.773164647,-0.910497805,-0.848261073,-1.072396639,-1.854284606,-1.172801043,-0.151625452,0.707358109,1.224454002,1.302115716,0.316495157,0.030124839,1.399702597,-0.774658689,-0.774658689,-0.77465858,-0.774554447,1.117895579,-0.846990555
6/3/2020 5:00,-0.75513761,-0.836920434,-0.69972594,-0.371345326,-1.683590322,-0.928534449,-0.151625452,0.36615289,1.365683295,-0.183563143,1.416357549,-0.588585459,1.285085714,-0.773164647,-0.774658689,-0.77465858,-0.774616024,1.293560879,-0.540126192
