iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_selected_features_count
61,192.63417432877444,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
62,180.09809150893082,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
63,185.399684926621,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
64,191.20553659902998,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
65,183.68809286107512,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
66,248.55839174610293,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
67,182.9213359110455,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
68,187.1417599507307,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
69,190.7100763514468,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
70,193.64695445995358,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
71,233.4022081008001,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
72,187.37785997094926,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
73,183.8697506758972,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
74,186.26484485162484,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
75,182.01280495081997,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
76,179.40558184261693,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
77,181.4713088418841,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
78,200.38639419888142,179.30146397026908,39,256,0.1340555028266508,0.43765075731424924,9,14.530526056290086,85,0.2804733909206304,10,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,9
79,178.68575261243876,178.68575261243876,78,315,0.11372181977881379,0.760055484606678,8,11.865753935301477,133,0.23573014515666846,13,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
80,182.17860790385583,178.68575261243876,78,315,0.11372181977881379,0.760055484606678,8,11.865753935301477,133,0.23573014515666846,13,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
81,192.99891933903695,178.68575261243876,78,315,0.11372181977881379,0.760055484606678,8,11.865753935301477,133,0.23573014515666846,13,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
82,180.67330892692965,178.68575261243876,78,315,0.11372181977881379,0.760055484606678,8,11.865753935301477,133,0.23573014515666846,13,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
83,178.3402687864286,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
