iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
50,213.5480987564158,178.59994590191442,46,0.02816502589431886,98,61,0.8743767201299654,0.608919298339556,181,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
51,213.36848652619514,178.59994590191442,46,0.02816502589431886,98,61,0.8743767201299654,0.608919298339556,181,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
52,179.687135211485,178.59994590191442,46,0.02816502589431886,98,61,0.8743767201299654,0.608919298339556,181,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
53,180.70426797441607,178.59994590191442,46,0.02816502589431886,98,61,0.8743767201299654,0.608919298339556,181,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
54,185.4001359225672,178.59994590191442,46,0.02816502589431886,98,61,0.8743767201299654,0.608919298339556,181,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
55,239.72158192206794,178.59994590191442,46,0.02816502589431886,98,61,0.8743767201299654,0.608919298339556,181,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
56,177.35907531751582,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
57,180.09638298639877,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
58,177.77281486182682,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
59,182.4917212695769,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
60,183.27671632072787,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
61,328.8019323428438,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
62,178.61666516545958,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
63,178.19374268225744,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
64,179.72799476132977,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
65,183.2973625160006,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
66,180.424503430881,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
67,188.51925000477524,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
